@relation ENS_CLEAN_20

@attribute index numeric
@attribute NOM_MUN {Ensenada}
@attribute LOC numeric
@attribute NOM_LOC {Ensenada}
@attribute AGEB numeric
@attribute MZA numeric
@attribute P_TOTAL numeric
@attribute P_0A2 numeric
@attribute P_3A5 numeric
@attribute POB65_MAS numeric
@attribute GRAPROES numeric
@attribute PROM_HNV numeric
@attribute VIVTOT numeric
@attribute PRO_OCUP_C numeric
@attribute PROM_OCUP numeric
@attribute VPH_PC numeric
@attribute OTRAENT numeric

@data
244,Ensenada,1,Ensenada,149,1,10,27,0,0,9.44,3.25,3,0.59,3.33,36,7
245,Ensenada,1,Ensenada,149,2,0,0,0,0,0,0,0,0,0,0,0
246,Ensenada,1,Ensenada,149,3,0,0,0,0,0,0,0,0,0,0,0
247,Ensenada,1,Ensenada,149,4,17,0,0,0,11.23,2.6,7,0.94,4.25,0,13
248,Ensenada,1,Ensenada,149,5,0,0,0,0,0,0,0,0,0,0,0
249,Ensenada,1,Ensenada,149,6,0,0,0,0,0,0,0,0,0,0,0
250,Ensenada,1,Ensenada,149,7,0,0,0,0,0,0,2,0,0,0,0
251,Ensenada,1,Ensenada,149,8,2,0,0,0,0,0,1,0,0,0,0
252,Ensenada,1,Ensenada,149,9,0,0,0,0,0,0,0,0,0,0,0
253,Ensenada,1,Ensenada,149,10,10,0,0,0,0,0,3,0,0,0,0
254,Ensenada,1,Ensenada,149,11,2,0,0,0,0,0,5,0,0,0,0
255,Ensenada,1,Ensenada,149,12,0,0,0,0,0,0,0,0,0,0,0
256,Ensenada,1,Ensenada,149,13,9,0,0,0,8.78,6.5,4,0.5,2.25,0,8
257,Ensenada,1,Ensenada,149,14,2,0,0,0,8.78,6.5,2,0.5,2.25,0,8
258,Ensenada,1,Ensenada,149,15,0,0,0,0,0,0,0,0,0,0,0
259,Ensenada,1,Ensenada,149,16,0,0,0,0,0,0,0,0,0,0,0
262,Ensenada,1,Ensenada,153,1,1,0,0,0,0,0,4,0,0,0,0
263,Ensenada,1,Ensenada,153,2,0,0,0,0,0,0,4,0,0,0,0
264,Ensenada,1,Ensenada,153,3,7,0,0,0,0,0,7,0,0,0,0
265,Ensenada,1,Ensenada,153,4,5,0,0,0,0,0,3,0,0,0,0
266,Ensenada,1,Ensenada,153,5,0,0,0,0,0,0,3,0,0,0,0
267,Ensenada,1,Ensenada,153,6,1,0,0,0,0,0,3,0,0,0,0
268,Ensenada,1,Ensenada,153,7,2,0,0,0,0,0,1,0,0,0,0
269,Ensenada,1,Ensenada,153,8,5,0,0,0,0,0,1,0,0,0,0
270,Ensenada,1,Ensenada,153,9,0,0,0,0,0,0,2,0,0,0,0
273,Ensenada,1,Ensenada,168,1,5,0,0,0,0,0,3,0,0,0,0
274,Ensenada,1,Ensenada,168,2,21,0,0,0,9.56,2,5,1.24,4.2,5,3
275,Ensenada,1,Ensenada,168,3,17,0,0,0,9.77,3,7,0.71,2.83,5,11
276,Ensenada,1,Ensenada,168,4,4,0,0,0,9.77,3,1,0.71,2.83,5,11
277,Ensenada,1,Ensenada,168,5,29,0,0,5,6.81,3.7,9,0.94,3.22,5,10
278,Ensenada,1,Ensenada,168,6,20,0,0,5,10.4,2.71,5,1,4,5,3
279,Ensenada,1,Ensenada,168,7,12,0,0,0,7.73,2.25,5,1,3,5,6
280,Ensenada,1,Ensenada,168,8,26,0,0,0,8.9,2.3,9,0.93,3.25,4,12
281,Ensenada,1,Ensenada,168,9,17,0,0,0,9.46,1.88,6,1.13,2.83,4,9
282,Ensenada,1,Ensenada,168,10,45,0,3,0,9.16,1.67,13,1.1,3.75,6,10
283,Ensenada,1,Ensenada,168,11,8,0,0,0,8.13,1,6,0.57,1.6,6,4
284,Ensenada,1,Ensenada,168,12,0,0,0,0,0,0,1,0,0,0,0
285,Ensenada,1,Ensenada,168,13,2,0,0,0,0,0,2,0,0,0,0
286,Ensenada,1,Ensenada,168,14,27,0,0,0,9,2,11,0.9,3.38,5,5
287,Ensenada,1,Ensenada,168,15,10,0,0,0,9.5,1,6,0.71,2.5,5,3
288,Ensenada,1,Ensenada,168,16,10,0,0,0,9.29,3.75,3,1.11,3.33,5,7
