index,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P_TOTAL,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT
202,Ensenada,1,Ensenada,0134,6,143.0,5.0,7.0,3.0,8.09,1.75,59.0,1.28,2.65,16.0,62.0
203,Ensenada,1,Ensenada,0134,7,154.0,17.0,8.0,3.0,8.98,2.07,60.0,1.54,2.85,14.0,54.0
204,Ensenada,1,Ensenada,0134,8,163.0,9.0,13.0,3.0,8.7,2.25,58.0,1.51,3.08,13.0,50.0
205,Ensenada,1,Ensenada,0134,9,147.0,18.0,15.0,3.0,8.48,2.1,58.0,1.53,3.59,11.0,32.0
206,Ensenada,1,Ensenada,0134,10,185.0,10.0,16.0,3.0,8.37,1.98,61.0,1.37,3.03,25.0,60.0
207,Ensenada,1,Ensenada,0134,11,42.0,4.0,16.0,0.0,9.7,1.57,17.0,0.88,2.8,7.0,6.0
208,Ensenada,1,Ensenada,0134,12,233.0,12.0,18.0,3.0,9.48,1.67,93.0,1.14,3.03,19.0,105.0
209,Ensenada,1,Ensenada,0134,13,157.0,11.0,12.0,3.0,9.78,1.71,54.0,1.37,3.08,21.0,55.0
210,Ensenada,1,Ensenada,0134,14,95.0,6.0,10.0,3.0,8.4,1.85,30.0,1.53,3.39,5.0,34.0
211,Ensenada,1,Ensenada,0134,15,64.0,4.0,3.0,0.0,9.5,1.3,28.0,1.02,2.67,11.0,23.0
212,Ensenada,1,Ensenada,0134,16,82.0,6.0,5.0,0.0,8.85,2.19,26.0,1.49,3.15,7.0,32.0
213,Ensenada,1,Ensenada,0134,17,99.0,4.0,7.0,0.0,11.48,1.51,29.0,1.3,3.67,14.0,27.0
214,Ensenada,1,Ensenada,0134,18,65.0,5.0,7.0,0.0,9.82,2.71,28.0,0.89,2.83,14.0,31.0
215,Ensenada,1,Ensenada,0134,19,86.0,4.0,9.0,0.0,9.72,2.36,26.0,1.12,3.58,14.0,33.0
